rus	eng
Массовая доля кремния, %, не менее 10,0	Mass fraction of silicon,%, not less than 10,0
Плотность при температуре 20 °С, г/см3 1,340-1,400	Density at a temperature of 20 ° C, g / cm3 1,340-1,400
Упаковка: автоцистерны, бочки стальные, полиэтиленовые.	Packing: tankers, barrels, steel, polyethylene.
Логотип	Company logo
При использовании любых материалов, статей, фотографий, ссылка на сайт обязательна.	Labers: Corrosive When using any material, articles, photos, link to this site.
О предприятии	About company
Презентация	Presentation
Политика в области качества и экологии	Quality Policy
Наш девиз: «От делового совершенства - к качеству жизни»	Our motto: “Quality assures our future”
создание конкурентоспособной продукции и получение устойчивой прибыли предприятия;	The goal of Khimprom activity is satisfying customer with our production, stable profit of the enterprise and worthy salary of the employees.
Условием достижения поставленных целей является функционирование на предприятии интегрированной системы менеджмента на основе следующих принципов:	Main principles:
1. Постоянное стремление к выполнению требований потребителей	1. We always aim to please our customers
путем изучения запросов существующих и потенциальных потребителей и обеспечения качества продукции с учетом всех требований, предъявляемых к ней, включающих и экологические требования, направленные на предупреждение вреда окружающей среде.	analyzing the highest standards of current and potential clients and assuring production quality.
2. Системный подход к менеджменту	2. System approach to management, continuous improvement of effectiveness of QMS and its interacting processes
3. Повышение эффективности производства	3. Increasing of production efficiency
4. Построение взаимовыгодных отношений с поставщиками и партнерами	4. Mutual beneficial relations with suppliers
7. Обеспечение промышленной и экологической безопасности производства	7. Assurance of production and environment safety
Контакты При использовании любых материалов, статей, фотографий, ссылка на сайт обязательна.	When using any material, articles, photos, link to this site.
Технические характеристики:	Quality Data:
Время высыхания эмали до степени 3, ч, не более:	Time of enamel drying up to stage 3, h, max at:
- при температуре (20 ± 2) °С 2,0	20 ± 2 °С 2,0 2,0
- при температуре (150 ± 2) °С 0,5	150 ± 2 °С 0,5 0,5
Термостойкость пленки эмали, ч, не менее, при температуре:	Enamel film heat resistance, h, min, at:
(400 ± 5) °С -	400 ± 5 °С 3 -
(600 ± 5) °С 3	600 ± 5 °С - 3
температуре (400 ± 5) °С и воды, циклы, не менее 5	Film resistance to alternative influence of heating at 400 ± 5 °С and water, cycles, min 5 -
Стойкость пленки при температуре (20 ± 2) °С, ч,	Film resistance at 20 ± 2 °С, h, min to static impact of:
Гарантийный срок хранения: 12 месяцев со дня изготовления.	Storage Warranty: 12 months.
Классификационный шифр группы опасных грузов: по ГОСТ 19433 - 3313, при перевозке по железной дороге - 3013.	Transport Type: Railway, road. Labelling:
Условия хранения: КО-075 хранят в закрытых складских помещениях при температуре не выше плюс 40 °С.	Storage Conditions: Store in tightly closed containers in ventilated store rooms or in special storage areas at ambient temperature (± 40 °C).
Гарантийный срок хранения – 3 месяца со дня изготовления.	Guaranteed storage life: 3 months from the date of manufacturing.
ПАО «Химпром» ориентируется на высокий уровень бизнес-культуры – современные стандарты корпоративного управления, контроль качества производства и готовой продукции, сервиса для своих клиентов.	Khimprom is oriented on up-to-date standards of corporate management, process and output quality control, high standards of business culture.
Примечания: Допускается снижение массовой доли пероксида водорода на 2,5 % в течение гарантийного срока хранения.	Reduction of the mass fraction of hydrogen peroxide by 2.5% during the warranty period of storage is possible.
Гарантийный срок хранения: 6 месяцев со дня изготовления.	Shelf life: 6 months from the date of manufacture.
Упаковка:	Packing:
канистры и бочки из ПЭВД, ПЭНД или их смеси вместимостью от 20 до 60 л,	cans and barrels from LDPE, HDPE or mixtures thereof,
Область применения	Main application Main applications
Продукция для машиностроения, для производства лакокрасочных и электротехнических материалов.	for the production of phosphorus oxychloride, phosphorus pentachloride, toxic chemicals and some other products of organic synthesis.
Область применения	Main applications
R; М (200 °С) < 20% 24ч. (23оС) 93% 1,6×1010 -	М (180 °С) < 20 % 1·1010
М (15-35 °С) 45-75 % 1,5×1012 -	М (200 °С) < 20 % -
R; М (15-35 °С) 45-75 % 75 -	М (15 - 35 °С) 45 - 75 % 70
R; М (200 °С) < 20 % 24 (23 °С) 93% 50 -	М (180 °С) < 20 % 35 М (200 °С) < 20 % -
М (15-35 °С) 45-75 % 50 -	24 h (23 °С) 93 % 35
Гарантийный срок хранения: 6 месяцев.	Storage Warranty: 12 months.
Упаковка: бочки стальные 200 и 50 дм3.	Packing: Steel barrels.
2 Плотность при 20 ºС, г/см3	2. Density at 20 °C, g/cm3
0,785-0,786	0,785-0,786
0,785-0,790	0,785-0,790
99,7	99,7
6 Массовая доля воды, %, не более	6. Water content, %, max
0,15	0,15
0,03	0,03
8 Массовая доля ацетона, %, не более	8. Acetone content, %, max
9 Смешиваемость с водой	9. Miscibility with water
0,0005	0,0005
Условия хранения: Изопропиловый спирт хранят в специально оборудованных и предназначенных для него резервуарах в соответствии с правилами хранения огнеопасных веществ.	Storage conditions: Isopropyl alcohol is stored in specially equipped and designated containers in compliance with the rules of storage of flammable substances.
Транспортирование: железнодорожным транспортом.	Transportation: railroad
Начало реализации проектов по энергосбережению: вступила в строй собственная котельная для выработки пара, проведено освоение новых и реконструкция действующих производств.	The plant's own boiler shop for steam production was commissioned. New productions were developed, the existing ones were reconstructed.
2002 г. Подписано Соглашение о социально-экономическом сотрудничестве между Правительством Чувашской Республики и администрацией ОАО «Химпром».	2002 - The agreement on social-economic collaboration was signed between the management of Khimprom and the government of the Chuvash Republic.
Производственное объединение «Химпром» преобразовано в открытое акционерное общество.	1994 – Transformation of Khimprom association into public joint stock company.
1991 г. Предприятие приступило к выпуску высокоэффективных гербицидов нового поколения на основе сульфонилмочевин.	1991 – The enterprise started the production of highly effective herbicides of new generation based on sulfonylurea.
1987 г.	1987 – The shop of household chemicals began its operation.
Начало производства товаров бытовой химии, которые стали важной вехой в работе и развитии Новочебоксарского «Химпрома».	The output of consumer goods became an important aspect of the company's activity.
1982 г.	1982 – The unique complex on hydrogen peroxide production was established.
1981 г.	1981 – The bleacher “Perox” output was started.
Пик строительства на химкомбинате: введены в строй 17 производственных объектов, освоен выпуск 41 вида новой продукции.	17 production facilities were commissioned, 41 items of new products were mastered.
1968 г.	1968 – The chemical plant was named after Lenin Komsomol.
Вступили в строй производства хлорметанов, хлорофоса, анилина. 1967 г.	1967 – The basic production of chlorine and caustic soda was started.
Сданы в эксплуатацию цехи электролиза, электрощелоков, сжижения хлора.	Shops of electrolysis, electroalkali solutions, chlorine liquefaction were commissioned.
1965 – 1966 гг. Вошел в строй цех №3 – первое в СССР производство светостабилизаторов бензона ОА и ОМ, а также производство активных синтетических красителей для хлопка, льна, шелка.	1965-1966 - First production in the USSR of light stabilizers benzon OA and OM was set into operation as well as production of dyes for cotton, flax and silk.
1964 г.	November 1964 – The first lot of the cationic blue dye “K” was manufactured.
Создается заводская лаборатория.	The plant's laboratory was being created.
1960 г. Начало строительства Чебоксарского химкомбината: заложены первые корпуса будущего завода и первые дома нового города - Новочебоксарска.	1960 – the beginning of construction: erection of the plant first buildings and first houses of the new town.
Миссия, ценности, стратегия	Our principles, values and goals We:
Миссия:	Our values are:
Транспортирование: всеми видами транспорта.	Transportation information:
Гарантийный срок хранения: 12 месяцев со дня изготовления.	Guaranteed storage life: 12 months from the date of manufacturing in its original packing.
Время высыхания лакового покрытия до степени 3 при температуре (200 ± 5) °С, мин, неболее 15 15 -	Time of varnish film drying up to stage 3 at 200 ± 5 °С, minutes, max 15 15
при температуре (200 ± 5) °С, ч, неменее 50 50 -	Thermoelasticity of varnish film at 200 ± 5 °С, h, min 50 50
R; М (200 °С) < 20% 24ч. (23оС) 93% 1,6×1010 -	R; M(200 °С) < 20 % 50 -
М (15-35 °С) 45-75 % 1,5×1012 -	24 h (23°С) 93%; M(15 - 35 °С) 45 - 75 % 50 -
R; М (15-35 °С) 45-75 % 75 -	R; M(15 - 35 °С) 45 - 75 % 1,0·1013 -
R; М (200 °С) < 20 % 24 (23 °С) 93% 50 -	R; M(200 °С) < 20 % 1,6·1010 -
М (15-35 °С) 45-75 % 50 -	24 h (23 °С) 93%; M(15 - 35 °С) 45 - 75 % 1,5·1012 -
Гарантийный срок хранения: 6 месяцев.	Storage Warranty: 6 months.
Гарантийный срок хранения: 12 месяцев со дня изготовления.	Guaranteed storage life: 12 months from the date of manufacturing.
47 лет со дня выпуска первой продукции ОАО «Химпром» ПАО «Химпром» г. Новочебоксарск	Khimprom is one of Russia's largest chemical enterprises PJSC Khimprom Russia
Сегодня ОАО «Химпром» - одно из крупнейших предприятий отечественной химической индустрии, чья деятельность сконцентрирована на продукции крупномасштабной химии, реализуемой как на внутреннем, так и на внешнем рынке.	Public joint stock company Khimprom is one of Russia 's largest chemical enterprises specializing in production of various chemicals: organochlorous, organophosphorous, organosilicon as well as household goods, highly effective herbicides and insecticides, polyesters for rigid polyurethane foams.
ОАО «Химпром» - единственное в стране, выпускающее:	Khimprom is the country's only producer of:
фосфор - и хлорсодержащие антипирены для полимерных материалов.	phosphorus and chlorine containing fire retardants for polymeric materials.
Потребителями продукции ОАО «Химпром» являются предприятия химической, нефтегазодобывающей, легкой, целлюлозно-бумажной и деревообрабатывающей, медицинской и химико-фармацевтической, электротехнической, металлургической промышленности, строительной индустрии, теплоэнергетики, машиностроения и сельского хозяйства.	Our consumers are enterprises of diverse industries: chemical, oil-and-gas, light, pulp-and-paper, wood-working, medical, pharmaceutical, electrical engineering, metallurgy, construction, heat-and-power engineering, machine-building, agriculture.
ОАО «Химпром» ориентируется на современные стандарты корпоративного управления, контроль качества производства и готовой продукции, на высокий уровень бизнес-культуры.	Khimprom is oriented on up-to-date standards of corporate management, process and output quality control, high standards of business culture.
Продукция и услуги	Products and Services
Особое внимание уделяется содействию занятости молодежи, закреплению ее на предприятии и привлечению к общественной работе. Руководство предприятия считает, что специалисты, которым сегодня 25 - 30 лет, - это будущее предприятия.	Professionals of 25-30 years are the enterprise future. Already today they can participate in the enterprise management, make proposals on its improvement.
Новости Маркетинг через Океанскую Гонку Вольво 2008-9 (PDF format) (см. также [ [9]])	Here you can publish your articles, books (examples in Russian [1], [2]) and projects (see[3], [4]) to receive feedback and to find adherents, participants and sponsors.
Все статьи	All pages
как электроинструменты, трансформаторы.	A citation is a reference to a work, such as a book or a journal article.
И, просыхая, нежатся они,	Entries are generally by Person, Place, Subject and Date.
как полупроводниковый приёмник, и носить за собою, и слушать,	Documents are selected from the disciplines of medicine, nursing, biology, philosophy, religion, law, and the behavioral sciences.
И клубни, вдруг не вытерпев, ошиблись.	The discussion is a little artificial.
Материал из Keywen.	From Keywen
Текущие события	Current events
Новые статьи	New orders
От автора	Claims are filled from the original request.
В добрый путь.	Compilation is the second pass.
Глава 9.	Culture is the Disciplines.
В двух словах не скажешь.	It’s a month by month service.
Музей Окленда.	available.
[ править]	[edit]
[ править]	[edit] Keywen Hierarchy
[ править]	[edit] Open Projects
Текущие события	Main Page Current events
В	In
УКРАИНЕ	Ukraine
Информация для всех заявителей	Information for All Visa Applicants
Украины,	Ukrainian citizens
которые постоянно проживают в Украине (планируют проживание в течение минимум 6 месяцев)	Legal permanent residents in Ukraine (for a minimum intended stay of at least 6 months)
Обращайтесь в Посольство Франции в стране Вашего постоянного проживания.	The Embassy of France in Ukraine will not issue visa to Ukrainian citizens who live permanently outside of Ukraine. Please contact the Embassy of France in your country of residence.
Согласно процедуре, дата подачи документов должна быть назначена в течение двух недель с момента обращения.	According to the procedure, an appointment must be scheduled within two weeks starting from the date of applying.
В данный момент, срок рассмотрения заявлений составляет, как минимум, 10 рабочих дней.	At the moment, the processing time is at least 10 working days.
Паспорт должен быть действительным еще 3 месяца после предполагаемого пребывания во Франции и должен содержать как минимум 2 свободные страницы для вклеивания визы и проставления других отметок во время путешествия.	Passport should be valid for at least three months beyond the intended stay in France and there should be at least two empty pages available in the passport for visa and/or permit sticker.
Если такие условия не соблюдены, заявителю нужно получить новый паспорт до момента подачи заявления на визу.	A new passport must be obtained before submission of your application, if the said conditions are not met.
Пожалуйста, обратите внимание, что срок действия вида на жительство иностранных граждан, которые проживают на территории Украины и собираются подавать документы на получение краткосрочной Французской Шенгенской визы, должен быть действительным, как минимум, 3 месяца после планируемой даты возвращения из Франции в Украину.	Please note that the residence permit of foreign nationals, legally residing on the territory of Ukraine and planning to apply for a Short Term French Schengen Visa, should be valid for minimum of 3 months from the planned return date to Ukraine.
Обратите внимание: Паспорт не может быть действительным более 10 лет.	Please note: Passport cannot be valid for more than 10 years.
Продленные паспорта к рассмотрению не принимаются.	Prolonged passports will not be accepted.
Вы можете подать Ваши документы максимум за 90 дней до планируемой даты поездки.	You can submit your documents maximum 90 days before the date of your planning travel.
Несовершеннолетние заявители обязательно должны приходить на собеседование в сопровождении одного из родителей / опекуна.	All minors must be accompanied by a parent/legal guardian at the time of application submission.
Фото ребенка в паспорте одного из родителей / обоих родителей не является обязательным для детей, возрастом до 5 лет и является обязательным для детей от 5 лет (5 лет и 1 день, например).	Please note that in case of minors (0-18 years) the name of the child should be endorsed in one of the parent’s passport and the photograph should be pasted for children aged from 5 years (for example, 5 years and 1 day).
Выбранная заявителем визовая категория должна соответствовать цели поездки во Францию. Исключительно заявитель выбирает категорию визы - сотрудники Визового центра не имеют полномочий помогать Вам в этом.	Visa Category chosen by an applicant must be based on the purpose of travel to France and the decision must be made by the applicant themselves – Visa Application Centre staff will not be able to assist you taking this decision.
В случае возникновения вопросов относительно визового заявления Посольство может пригласить заявителя на собеседование.	In case of any questions regarding visa application the Embassy may require the additional interview with the applicant.
Посольство Франции в Киеве будет возвращать паспорта с решением в Визовый Центр в Киеве. Заявители должны решить, каким образом они хотят получить свои паспорта или документы: либо воспользоваться услугой курьерской доставки, либо забрать их из Визового Центра в Киеве.	Embassy of France, Kyiv will return processed passports to the Visa Application Centre in Kyiv. Applicants have a choice to decide on how they would like to collect their passports and / or documents, i.e. by subscribing for a Courier Services.
Информация для заявителей, подающих документы на получение краткосрочной визы	Information for Short Term Visa Applicants Applicants for short term visas can also apply directly with Embassy of France by taking prior appointment.
Информация для заявителей, подающих документы на получение долгосрочной визы	To book an appointment please contact our Call centre Information for Long Term Visa Applicants
Заявления на оформление некоторых категорий долгосрочных виз должны подаваться непосредственно в Посольство по предварительной записи, которую можно осуществить, позвонив в колл-центр.	Applications for some categories of Long Term visas have to be submitted directly at the Embassy upon prior scheduled appointment which can be done by the Call Centre.
Пожалуйста, обратите внимание, что начиная с 20 ноября 2017 года подача документов на долгосрочную визу для супругов французских граждан будет осуществляться непосредственно в Посольстве Франции по предварительной записи, которую можно назначить, позвонив в колл-центр.	Please note that effective 20 November 2017 the documents for Short/Long Term Visa of spouses of French Nationals will be accepted directly at the Embassy of France upon prior scheduled appointment (via call-centre).
Вы также сможете подать документы на данную категорию визы в Визовом Центре Франции в любой рабочий день с понедельника по пятницу с 08:30 до 15:30 без предварительной записи, но при этом Вам нужно будет оплачивать сервисный сбор.	You can also submit your documents for these visa categories at France Visa Application Centre without prior scheduled appointment from 08:30 till 15:30 (Monday-Friday, except holidays) but then you will pay a service fee charge.
Шаг 1	Step 1
Подготовьте Вашу анкету и необходимые документы: Воспользуйтесь страницей «Все о визах» и найдите всю информацию о категории визы, которая Вам нужна - здесь Вы сможете найти сумму консульского сбора, перечень необходимых документов, анкеты на получение визы и т.д.	Prepare your application and supporting documents: Go to ‘All about your visas’ link on this website and find out details related to the visa category you want to apply for – here, you can find the applicable fee, documents required, Visa application form and more.
Шаг 2	Step 2
Для того, чтобы подать документы в Визовый Центр, Вам необходимо предварительно записаться на подачу. Записаться на подачу документов можно онлайн или позвонив в колл-центр.	Book an appointment to visit Visa Application Centre: To visit Visa Application Centre you need to Schedule Appointment. You can book an appointment online or by calling the Call Centre. Details provided on this website to schedule an appointment.
Шаг 3	Step 3
Посетите Визовый Центр в день подачи документов и подайте заполненную анкету и необходимые документы.	Submit your application: Visit Visa Application Centre as per appointment scheduled and submit your completed Visa Application Forms along with required supporting documents.
Шаг 4	Step 4
Оплатите сумму: Работник Визового Центра предоставит Вам чек, который Вам необходимо оплатить в кассу в гривнах. Оплата будет включать сумму всех платежей в Визовом центре .	Pay applicable Fee: Submission Officer will advise you on total payable amount and guide you to the bank cashier where you need to pay in local currency (Hryvnia). Receipt will be provided for all payments made at the Centre.
Виза для научного сотрудника и его родственников	Visa for scientists and their Relatives
Виза для воссоединения семьи	Family Reunion
10. Справка с работы заявителя, в случае наличия (с переводом)	Forms listed below must be filled in completely (in French language only) by the applicant only (except for minors, application form is to be filled in by parents).
Обращаем Ваше внимание на то, что с 20/11/2017 согласно инструкциям Посольства Франции документы на такие категории виз как Краткосрочная/Долгосрочная виза супруги/-а гражданина Франции будут подаваться непосредственно в Посольство Франции по предварительной записи, которую можна сделать, позвонив в колл-центр.	Please note that according to the instructions of the Embassy of France effective 20 November 2017the documents for Long/Short Stay visas of Spouses of Frence nationals will be accepted directly at the Embassy of France upon prior scheduled appointment (via call-centre).
С понедельника по пятницу с 08.00 до 18.00	08:00 - 18:00, Monday to Friday
Вы также можете написать нам на электронный адрес: info@francevac-ua.com	You can also write to us at: info@francevac-ua.com
Чтобы назначить дату подачи документов на 19 июня 2017 года или позже, пожалуйста, нажмите здесь.	To make an appointment on or after 19 June 2017, please click here.
Также, пройдя по этой ссылке, заявители могут перенести, отменить свою запись или скачать письмо-подтверждение записи, если запись была сделана на 19 июня 2017 года или позже.	Also following this link, applicants can reschedule or cancel their appointment, or download appointment confirmation letter, if the appointment is made on or after 19 June 2017.
Пожалуйста, обратите внимание на то, что детей, вписанных в паспорт родителей, нужно записывать на подачу документов отдельно.	Please note that the number of slots allocated for the website and for the call-center may differ. If you are not satisfied with the date available on the website please contact the call-center in order to check/schedule an appointment the nearest available date.
Следующим заявителям на визу не нужно назначать дату собеседования через колл-центр/веб-страницу и можно приходить на подачу документов в приемные часы Посольства с 10:00 до 13:00:	Please note that children endorsed in parent’s passport are required to take a separate appointment to submit the application. The following people do not need to book their appointment through the Call Centre and can submit the documents without prior scheduled appointment during working hours of the Embassy (10:00 – 13:00).
в случае поездки на похороны близкого родственника, визовое заявление может быть подано непосредственно в Посольство (с 10:00 до 13:00), с предъявлением свидетельства о смерти.	In case of travel for the funeral of a close relative, the visa application can be submitted directly at the Embassy (from 10:00 till 13:00), a death certificate must be presented.
Документы на оформление визы с целью лечения должны подаваться в Визовый Центр по предварительной записи.	Documents for a visa for a medical treatment must be submitted at the Visa Application Center upon prior scheduled appointment.
Обратите внимание, что заявления на оформление долгосрочных виз таких как, долгосрочная виза Carte PROMAE и членов их семей, долгосрочная виза несовершеннолетних маннекенщиц, долгосрочная виза несовершеннолетних школьников (должны подаваться непосредственно в Посольство по предварительной записи, которую можно осуществить, позвонив в колл-центр. Все остальные типы долгосрочных виз принимаются в Визовом Центре Франции.	Please note that the applications with Long Term visas: Long Term Visa Carte PROMAE and family members, Long Term Visa of Minor Models, Long Term Visa of Minor Student have to be submitted directly at the Embassy upon prior scheduled appointment which can be scheduled by our Call Centre. Other long terms visas are submitted at the Visa Application Centre.
По всем вопросам, связанным с получением визы или для записи на подачу документов:	For all your general visa related queries and to schedule an appointment:
Вы также можете нам написать на электронный адрес: info@francevac-ua.com	You can also write to us at: info@francevac-ua.com
Пожалуйста, обратите внимание, что с 10 июля 2017 года, заявители, которые планируют подавать документы на долгосрочную визу в Визовом центре Франции, могут подавать документы без предварительной записи.	Please note that effective 10 July 2017 applicants who are planning to submit Long Term Visa application at France Visa Application Centre can submit their applications without prior appointment,
Чтобы назначить дату подачи документов на долгосрочную визу, пожалуйста,позвоните в колл-центр по номеру: (+38) 0 44 594 96 20, (+38) 0 50 419 30 13 или (38) 0 67 352 09 58 (пн-пт, 8:00 до 18:00).	To schedule an appointment for Long Term visa please call to the call-center on: (+38) 0 44 594 96 20, (+38) 0 67 352 09 58 or (+38) 0 50 419 30 13 (Monday to Friday from 8:00 till 18:00).
Чтобы изменить дату подачи документов на долгосрочную визу, пожалуйста, позвоните в колл-центр по номеру: (+38) 0 44 594 96 20, (+38) 0 50 419 30 13 или (38) 0 67 352 09 58 (пн-пт, 8:00 до 18:00).	To reschedule/cancel an appointment for Long Term visa please call to the call-center on: (+38) 0 44 594 96 20, (+38) 0 67 352 09 58 or (+38) 0 50 419 30 13 (Monday to Friday from 8:00 till 18:00).
Следующим заявителям на визу не нужно назначать дату собеседования через колл-центр/веб-страницу и можно приходить на подачу документов в приемные часы Посольства с 10:00 до 13:00:	Following applicants do not need to book their appointment through the Call Centre and can submit the documents without prior scheduled appointment during working hours of the Embassy (10:00 – 13:00).
в случае поездки на похороны близкого родственника, визовое заявление может быть подано непосредственно в Посольство (с 10:00 до 13:00), с предъявлением свидетельства о смерти.	In case of travel for the funeral of a close relative, the visa application can be submitted directly at the Embassy (from 10:00 till13:00), a death certificate must be presented.
Внимание:	Notes:
* А также для граждан России, Молдовы, Албании, Боснии-Герцеговины, которые имеют действующий вид на жительство в Украине.	* Also applicable for nationals Russian Federation, Moldova, Albania, Bosnia-Herzegovina holding Ukrainian Residence Permit.
** А также для граждан других стран, имеющих действующий вид на жительство в Украине.	** Applicable for other countries nationals holding Ukrainian Residence Permit.
Мы	We have
Визовый Центр Франции города Киева	The France Visa Application Centre in Kiev, Ukraine
Гулливер, Киев, 01001, Украина	Gulliver, Kiev, 01001, Ukraine
С 4 декабря 2017	from 04 December 2017
ВСТУПЛЕНИЕ	introduction
Уважаемые заявители! Пожалуйста, обратите внимание, что согласно последним обновлениям, режим безвизового въезда на территорию Шенгенской зоны будет доступен для граждан Украины, которые имеют биометрические паспорта, с 11 июня 2017 года.	Applicants are requested to make a note that as per the recent development towards visa free regime for citizens of Ukraine which will allow visa free travel to Schengen countries effective June 11th for citizens who hold biometric passports.
В связи с либерализацией визового режима с 11 июня 2017 года, Посольство Франции в Украине больше не будет принимать документы на краткосрочную Шенгенскую визу от владельцев биометрических паспортов для поездок с 11 июня 2017 года и позже.	According to the liberalization of visa regime, effective 11 june 2017, the Embassy of France in Ukraine will not accept the documents for short stay Schengen visas for the trips from 11 june 2017 and later.
Для получения долгосрочной визы для поездки во Францию, а также визы для посещения заморських департаментов и территорий Франции, Вы сможете, как и прежде, подавать Ваши документы.	Applicants who wish to apply for a long term visa should continue to make their visa application for procuring visa for their travel to France.
Уважаемые заявители!	Dear Applicants!
Обращаем Ваше внимание на то, что с 20/11/2017 согласно инструкциям Посольства Франции документы на такие категории виз как Краткосрочная/Долгосрочная виза супруги/-а гражданина Франции будут подаваться непосредственно в Посольство Франции по предварительной записи, которую можна сделать, позвонив в колл-центр.	Please note that according to the instructions of the Embassy of France effective 20 November 2017 the documents for Long/Short Stay visas of Spouses of Frence nationals will be accepted directly at the Embassy of France upon prior scheduled appointment (via call-centre).
Подать документы на данные категории виз можно будет также и в Визовом Центре, оплатив при этом сумму сервисного сбора.	Please note that you can also submit your documents for these categories at Visa Application Centre but then you will pay a service fee charge.
Обращаем Ваше внимание на то, что согласно инструкциям Посольства Франции с 01 февраля 2017 года Визовый Центр Франции не будет принимать заявителей без предварительной записи.	Please note that according to the instructions of the Embassy of France effective 01 February 2017 the France Visa Application Centre will accept applicants only as per the prior appointment
Начиная с 15 октября 2010, Посольство Франции в Киеве информирует об открытии Визового Сервис центра Франции в Киеве. На этом сайте Вы сможете найти информацию о процедуре подачи документов и получении паспортов, а также другую полезную информацию.	The Embassy of France, Kyiv is pleased to announce the opening of their Visa Application Centre from 15 October 2010 in Kyiv. Visa Application Centre will accept Short Term applications only.
Все документы, которые подаются в Визовый Центр, будут передаваться в Посольство Франции в Киеве для рассмотрения и принятия решения.	All applications collected by the Visa Application Centre will be sent to the Embassy of France in Kyiv for assessment and resolution.
Работники Визового центра не влияют на решение Посольства.	Visa Application Centre staff has no say in the visa decisions taken by the Embassy.
Воспользуйтесь следующей ссылкой для того чтобы посетить официальный сайт Посольства Франции в Киеве	Click the link to access the official website of Embassy of France, Kyiv
Шаг 1 : Подготовьте Вашу анкету и дополнительные документы:	Step 1 : Prepare your application and supporting documents: Go to ‘All about your visas’ link on this website and find out details related to the visa category you want to apply for – here, you can find the applicable fee, documents required, Visa application form and more.
Шаг 4 : Оплатите сумму и пройдите процедуру подачи биометрических данных: Работник Визового Центра предоставит Вам чек, который Вам необходимо оплатить в кассу в гривнах. Оплата будет включать сумму всех платежей в Визовом Центре. После оплаты Вам необходимо пройти процедуру подачи биометрических данных.	Step 4 : Pay applicable Fee and submit your biometric data: Submission Officer will advise you on total payable amount and guide you to the bank cashier where you need to pay in local currency (Hryvnia).
Пожалуйста, загрузите и заполните Соглашение на обработку персональных данных в одном экземпляре.	THE PERSONAL DATA INFORMATION AGREEMENT Please download and fill the Personal Data Information Agreement in 1 copy.
Также Вы можете получить экземпляр Соглашения на обработку персональных данных в Визовом центре.	The Personal Data Information Agreement is also available at Visa Application Centre.
Нажмите здесь, пожалуйста, для того, чтобы загрузить Соглашение на обработку персональных данных.	To download Personal Data Information Agreement please click here
